epoch,accuracy,loss,val_accuracy,val_loss
0,0.4730902910232544,1.544772982597351,0.671875,1.2084156274795532
1,0.7786458134651184,0.7873817682266235,0.796875,0.7510818243026733
2,0.8697916865348816,0.520656406879425,0.8515625,0.6162296533584595
3,0.9131944179534912,0.3785437047481537,0.8515625,0.4998583495616913
4,0.9618055820465088,0.2476896494626999,0.9140625,0.36228233575820923
5,0.953125,0.25905323028564453,0.9375,0.3524331748485565
6,0.9782986044883728,0.18149837851524353,0.9375,0.28285691142082214
7,0.9791666865348816,0.18178585171699524,0.9296875,0.2866901159286499
8,0.9887152910232544,0.1353960633277893,0.9453125,0.2929110527038574
9,0.9939236044883728,0.11547187715768814,0.9453125,0.31973111629486084
10,0.9921875,0.11097118258476257,0.9453125,0.28792864084243774
11,0.9947916865348816,0.09417232871055603,0.9375,0.29108327627182007
12,0.9965277910232544,0.08939686417579651,0.9609375,0.27959686517715454
13,0.9947916865348816,0.08932198584079742,0.9296875,0.32229509949684143
14,0.9956597089767456,0.08248381316661835,0.9609375,0.2799437642097473
15,0.9930555820465088,0.09148111939430237,0.9375,0.27215611934661865
16,1.0,0.06776979565620422,0.9453125,0.2958594560623169
17,0.9982638955116272,0.06517905741930008,0.953125,0.24985411763191223
18,1.0,0.05849863961338997,0.953125,0.24121440947055817
19,1.0,0.054555051028728485,0.953125,0.24835139513015747
20,1.0,0.052076179534196854,0.9453125,0.25175532698631287
21,1.0,0.049408920109272,0.9453125,0.233694925904274
22,1.0,0.04775982350111008,0.953125,0.25096243619918823
23,1.0,0.04586188867688179,0.953125,0.2444826066493988
24,1.0,0.04411608725786209,0.953125,0.2538110613822937
25,1.0,0.04291381686925888,0.9453125,0.24283626675605774
26,1.0,0.04132605716586113,0.953125,0.24274124205112457
27,1.0,0.03972257673740387,0.9453125,0.23261089622974396
28,1.0,0.038474444299936295,0.953125,0.24159041047096252
29,1.0,0.03727605193853378,0.953125,0.22906208038330078
